"domain_code","domain","area_code_m49","area","element_code","element","item_code_cpc","species","year_code","year","unit","value","flag","flag_description","note"
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1991,1991,"An",11000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1992,1992,"An",5800000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1992,1992,"An",3300000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1992,1992,"An",10000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1992,1992,"An",10000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1993,1993,"An",5900000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1993,1993,"An",4200000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1993,1993,"An",11000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1993,1993,"An",11500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1994,1994,"An",6000000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1994,1994,"An",5000000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1994,1994,"An",12000000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1994,1994,"An",13000000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1995,1995,"An",6100000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1995,1995,"An",5200000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1995,1995,"An",12500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1995,1995,"An",13500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1996,1996,"An",6200000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1996,1996,"An",5400000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1996,1996,"An",12800000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1996,1996,"An",13500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1997,1997,"An",6300000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1997,1997,"An",5600000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1997,1997,"An",13000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1997,1997,"An",13500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1998,1998,"An",6600000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1998,1998,"An",5300000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1998,1998,"An",12500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1998,1998,"An",13500000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1999,1999,"An",6925500,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1999,1999,"An",5132000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1999,1999,"An",12000000,"E","Estimated value",""
